Age,Average Log Income by Age,G_t
25,9.139368916865633,9314.884809838166
26,9.192967464698954,9827.771315497523
27,9.283568882578415,10759.763808354344
28,9.149213177290312,9407.035796697925
29,9.463987621676688,12887.171287259305
30,9.386112924019244,11921.668718920597
31,9.334310441642346,11319.819898932867
32,9.249321549580687,10397.509128630747
33,9.35084397448869,11508.532255205188
34,9.493771493352106,13276.774285698664
35,9.352447573779859,11527.00213455676
36,9.415333136640522,12275.161834394305
37,9.1799511940869,9700.679310861287
38,9.29519723530419,10885.612425130737
39,9.478494535870428,13075.487012775071
40,9.389810201705684,11965.828022960639
41,9.495215841020732,13295.964418961094
42,9.659947376701595,15676.959673055413
43,9.562163458685223,14216.569914525593
44,9.512130240981598,13522.7704153278
45,9.57494648462884,14399.46719638956
46,9.659724055279376,15673.459063020315
47,9.691641092123458,16181.778304164947
48,9.633406856575123,15266.357903607619
49,9.853312624226916,19021.26084197468
50,9.703698404056517,16378.068038061036
51,9.757897980087597,17290.24900217639
52,9.661440826540995,15700.389917553965
53,9.630695125628101,15225.015728194423
54,9.73904427107791,16967.317473100462
55,9.927090265546132,20477.669229961444
56,9.604912048404456,14837.485303263707
57,9.784128527524839,17749.782255363247
58,9.646596008798518,15469.04189880005
59,9.607007448657631,14868.60836997791
60,9.779539000034278,17668.505794691708
61,9.660783502804598,15690.073069716434
62,9.443905729094702,12630.953774675683
63,9.670551410378723,15844.083207153775
64,9.538833609098557,13888.738475124732
65,9.412368350732983,12238.822503361627
66,9.82929619995046,18569.880142247657
67,9.722624286903732,16690.989249752896
68,9.418962647908767,12319.795623013106
69,9.53352201921739,13815.162767352995
70,9.68113084362762,16012.594432758333
71,9.064516585992036,8643.099933012843
72,9.616314206159675,15007.632832475758
73,9.412425503996062,12239.522011993344
74,9.127739507193114,9207.185650947524
75,10.246306472913682,28178.27226561772
76,9.555651892019773,14124.298513491933
77,9.75668509876195,17269.29069458511
78,10.150727549470025,25609.72777422683
79,9.641153864879074,15385.085804275579
80,9.414916343195996,12270.046693463892
81,9.632864150489253,15258.075006057012
82,9.643470713546217,15420.77204366015
83,9.782127310490473,17714.296607841632
84,9.87007692841615,19342.82692955359
85,11.148866180920683,69485.00000000003
86,9.147748350063813,9393.266202042983
87,10.413192548633416,33296.00000000003
88,8.233768709217097,3765.9999999999973
89,11.109982213246678,66835.00259594525
90,,
91,9.13140538388804,9241.0
92,11.049315103244865,62900.8592548623
93,,
94,,
95,,
97,,
