Age,Average Log Income by Age,G_t
25,9.1683718733563,9588.99986769691
26,9.192967464698954,9827.771315497523
27,9.283568882578415,10759.763808354344
28,9.149213177290312,9407.035796697925
29,9.463987621676688,12887.171287259305
30,9.383221483179144,11887.247706246666
31,9.337926790766927,11360.830429217865
32,9.249321549580687,10397.509128630747
33,9.35084397448869,11508.532255205188
34,9.491743789482912,13249.880194949845
35,9.351375886130652,11514.655405836816
36,9.415333136640522,12275.161834394305
37,9.1799511940869,9700.679310861287
38,9.274985763053479,10667.806673605553
39,9.476062401425619,13043.724311665452
40,9.381906516175697,11871.626640595012
41,9.488833958621314,13211.381324411435
42,9.63593226129666,15304.960358833265
43,9.552063807896488,14073.710154161936
44,9.489788964094389,13224.004292425525
45,9.573288666324174,14375.61527263465
46,9.644390663256917,15434.964905799248
47,9.685029179368422,16075.138732069978
48,9.637101009261203,15322.858457245755
49,9.848590885209248,18931.659116943574
50,9.704011784319835,16383.201405641474
51,9.751152900770313,17174.01733781235
52,9.6675902496026,15797.235725121996
53,9.63934827466991,15357.331707782896
54,9.739835800421192,16980.7529193307
55,9.927090265546132,20477.669229961444
56,9.604912048404456,14837.485303263707
57,9.757065747159013,17275.865473666574
58,9.633818441155626,15272.642594373367
59,9.601928000581346,14793.275532384985
60,9.782489670774833,17720.71672852581
61,9.658648739315714,15656.614200681877
62,9.409776853489621,12207.146690200934
63,9.665662294124497,15766.808698368106
64,9.488715498117084,13209.816390211461
65,9.412368350732983,12238.822503361627
66,9.821943681976387,18433.845476219143
67,9.720089588116936,16648.73619156071
68,9.385199628202166,11910.785679220802
69,9.531499660076443,13787.251779180653
70,9.68113084362762,16012.594432758333
71,9.064516585992036,8643.099933012843
72,9.616314206159675,15007.632832475758
73,9.293385183457948,10865.904991876208
74,9.081885094995041,8794.52893327244
75,10.246306472913682,28178.27226561772
76,9.555651892019773,14124.298513491933
77,9.75668509876195,17269.29069458511
78,10.151248660345013,25623.076759724143
79,9.641153864879074,15385.085804275579
80,9.414916343195996,12270.046693463892
81,9.632864150489253,15258.075006057012
82,9.643470713546217,15420.77204366015
83,9.782127310490473,17714.296607841632
84,9.87007692841615,19342.82692955359
85,11.148866180920683,69485.00000000003
86,9.147748350063813,9393.266202042983
87,10.413192548633416,33296.00000000003
88,8.233768709217097,3765.9999999999973
89,11.109982213246678,66835.00259594525
90,,
91,9.13140538388804,9241.0
92,11.049315103244865,62900.8592548623
93,,
94,,
95,,
97,,
